mot;pertinence;complexite;theme;définition;etymologie;exemple;synonymes
hermétique;4;Intermédiaire;Philosophie & Idées;"Clos de manière étanche ; au figuré, particulièrement difficile à comprendre, ésotérique.";D'Hermès Trismégiste, père mythique de l'alchimie.;La poésie hermétique de Mallarmé requiert de nombreux efforts de déchiffrement.;obscur, fermé, impénétrable, mystique
immanence;4;Intermédiaire;Philosophie & Idées;Fait de résider ou d'être contenu intrinsèquement à l'intérieur des êtres ou des choses.;"Du latin ""immanere"" (demeurer à l'intérieur).";Le panthéisme enseigne l'immanence de Dieu dans la nature.;présence interne, inhérence
intrinsèque;4;Intermédiaire;Philosophie & Idées;Qui est inhérent à l'essence même d'une chose, indépendamment des éléments extérieurs.;"Du latin ""intrinsecus"" (en dedans, à l'intérieur).";La valeur intrinsèque de cet écrit réside dans sa beauté poétique.;inhérent, propre, essentiel, intime
némésis;4;Intermédiaire;Philosophie & Idées;"Vengeance inévitable ou colère méritée ; force destructrice et juste.";De Némésis, divinité grecque de la juste colère et du châtiment céleste.;Sa chute fut la némésis de son arrogance passée.;vengeance, justice, châtiment, destin
ontologique;4;Intermédiaire;Philosophie & Idées;Qui concerne l'étude de l'être en soi, de l'existence et de la nature de la réalité.;"Du grec ""ontos"" (l'être) et ""logos"" (discours).";L'argument ontologique de Descartes vise à prouver l'existence de Dieu.;existentiel, métaphysique
ésotérique;4;Intermédiaire;Philosophie & Idées;Qui est réservé aux initiés, difficile à comprendre pour le grand public.;"Du grec ""esoterikos"" (de l'intérieur, intime).";Cette société secrète conserve des écrits ésotériques depuis des générations.;hermétique, occulte, mystérieux, secret
allégresse;4;Intermédiaire;Sentiments & Psyché;Joie très vive et collective qui se manifeste de manière visible et communicative.;"Du latin ""alacer"" (vif, joyeux).";Les cloches de l'église sonnaient à toute volée dans l'allégresse générale.;jubilation, euphorie, liesse, félicité
atone;4;Intermédiaire;Sentiments & Psyché;Qui manque d'expression, de vivacité, d'énergie ou d'accentuation (ex: un regard atone).;"Du grec ""atonos"" (sans tension, sans ressort).";Il restait là, le regard atone, incapable de réagir à la nouvelle.;inerte, apathique, éteint, morne, atone
commisération;4;Intermédiaire;Sentiments & Psyché;Sentiment de pitié fraternelle qui pousse à compatir aux malheurs d'autrui.;"Du latin ""commiseratio"" (pitié partagée).";Elle écouta le récit de ses malheurs avec une sincère commisération.;compassion, pitié, sympathie, empathie
courroux;4;Intermédiaire;Sentiments & Psyché;Violente colère, divine ou noble, qui s'exprime avec majesté ou sévérité.;"Du latin ""corruptum"" (gâté, irrité).";Le courroux du roi s'abattit sur le traître qui l'avait trompé.;colère, indignation, fureur, ressentiment
heur;4;Intermédiaire;Sentiments & Psyché;"Bonne fortune, chance ou succès (principalement utilisé dans ""avoir l'heur de"").";"Du latin ""augurium"" (présage, augure).";Il eut l'heur de lui plaire dès leur première rencontre.;chance, bonheur, fortune
inextinguible;4;Intermédiaire;Sentiments & Psyché;Qu'il est impossible d'éteindre, d'apaiser ou de rassasier (ex: soif inextinguible).;"Du latin ""inextinguibilis"" (qu'on ne peut éteindre).";Un rire inextinguible s'empara des spectateurs devant cette farce farce.;insatiable, infatigable, intarissable
lascif;4;Intermédiaire;Sentiments & Psyché;Qui exprime une sensualité langoureuse et provocante.;"Du latin ""lascivus"" (folâtre, enjoué, voluptueux).";Elle exécuta une danse lascive sous les regards fascinés de la foule.;voluptueux, sensuel, provocant
léthargie;4;Intermédiaire;Sentiments & Psyché;"État de sommeil profond ; au figuré, engourdissement moral et inaction complète.";"Du grec ""lêthargia"" (sommeil de l'oubli).";La nation sortit enfin de sa longue léthargie politique.;torpeur, apathie, sommeil, engourdissement
miséricorde;4;Intermédiaire;Sentiments & Psyché;Pitié compatissante qui pousse à accorder le pardon aux offenses ou à soulager la misère.;"Du latin ""misericordia"" (cœur sensible à la misère).";Il implora la miséricorde divine pour racheter ses fautes passées.;clémence, pardon, pitié, compassion
placidité;4;Intermédiaire;Sentiments & Psyché;Calme doux et imperturbable du tempérament, exempt de colère ou d'agitation.;"Du latin ""placiditas"" (douceur, paix).";Le vieux sage répondait aux insultes des passants avec une placidité royale.;calme, sérénité, flegme, tranquillité
pétulant;4;Intermédiaire;Sentiments & Psyché;Qui manifeste une ardeur joyeuse, vive et parfois impatiente de vivre.;"Du latin ""petulans"" (effronté, badin, vif).";L'enfant pétulant sautait dans les flaques d'eau avec joie.;vif, enjoué, dynamique, pétillant
torpeur;4;Intermédiaire;Sentiments & Psyché;Ralentissement léthargique de l'activité physique ou intellectuelle avec engourdissement.;"Du latin ""torpor"" (engourdissement).";Une lourde torpeur s'empara des convives après ce repas copieux.;léthargie, engourdissement, apathie, somnolence
antédiluvien;4;Intermédiaire;Temps & Éphémère;"Qui est antérieur au Déluge biblique ; par extension, qui est extrêmement vieux ou dépassé.";"Du latin ""ante"" (avant) et ""diluvium"" (déluge).";Il roule encore dans une voiture antédiluvienne qui fait un bruit de ferraille.;archaïque, obsolète, vieux, ancestral
caducité;4;Intermédiaire;Temps & Éphémère;État de ce qui est usé, périmé, temporaire ou sur le point de tomber.;"Du latin ""caducus"" (prêt à tomber).";Les feuilles d'automne illustrent parfaitement la caducité des choses terrestres.;obsolescence, fragilité, usure, décrépitude
hécatombe;4;Intermédiaire;Temps & Éphémère;"Sacrifice antique de cent bœufs ; par extension, grand nombre de morts causés par un drame.";"Du grec ""hekaton"" (cent) et ""bous"" (bœuf).";La grippe espagnole fut une véritable hécatombe en Europe.;massacre, carnage, tuerie, désastre
trépas;4;Intermédiaire;Temps & Éphémère;"Le passage solennel de la vie à la mort ; décès.";"De ""trépasser"" (passer au-delà).";La nouvelle de son trépas fut accueillie avec une immense tristesse.;mort, décès, fin, disparition
amphigourique;4;Expert;Art & Langage;Se dit d'un texte ou d'un discours extrêmement embrouillé, obscur et prétentieux.;"Origine incertaine, peut-être forgé sur ""amphi"" (autour) et ""gourer"" (se tromper).";L'avocat présenta une plaidoirie amphigourique qui lassa le jury.;embrouillé, confus, alambiqué, obscur
garrulité;4;Expert;Art & Langage;Bavardage abondant, insipide et indiscret.;"Du latin ""garrulitas"" (bavardage).";La garrulité de la voisine finissait par exaspérer tout le quartier.;bavardage, loquacité, babil
oblation;4;Expert;Art & Langage;Offrande solennelle faite à Dieu ou à une divinité dans le culte.;"Du latin ""oblatio"" (action d'offrir).";L'oblation de pain et de fruits fut déposée au pied du sanctuaire.;offrande, sacrifice, don
ostensoir;4;Expert;Art & Langage;Objet d'orfèvrerie religieuse destiné à exposer l'hostie consacrée à l'adoration des fidèles.;"Du latin ""ostendere"" (présenter, montrer).";L'évêque portait l'ostensoir d'or fin sous un dais de velours pour la procession.;monstrance, ciboire
panégyrique;4;Expert;Art & Langage;Discours solennel de louanges excessives et enthousiastes fait en l'honneur de quelqu'un.;"Du grec ""panegurikos"" (discours prononcé devant l'assemblée du peuple).";Le maire fit le panégyrique de son prédécesseur lors de l'inauguration.;éloge, apologie, louange, compliment
patène;4;Expert;Art & Langage;Petite assiette circulaire en métal précieux (or ou argent) servant à recevoir l'hostie durant la messe.;"Du latin ""patena"" (plat creux).";Le prêtre essuya la patène dorée avec soin avant de la ranger.;assiette, vaisselle sacrée
psautier;4;Expert;Art & Langage;Recueil religieux contenant les psaumes de la Bible, souvent richement enluminé au Moyen Âge.;"Du grec ""psalterion"" (instrument à cordes, psaltérion).";Ce psautier du XIIe siècle présente des lettrines dorées magnifiques.;bréviaire, missel, livre
ratiociner;4;Expert;Art & Langage;Se perdre en raisonnements trop subtils, pointilleux et sans portée concrète.;"Du latin ""ratiocinari"" (calculer, raisonner).";Arrête de ratiociner sur des détails et prends une décision.;chipoter, pinailler, ergoter, couper les cheveux en quatre
vate;4;Expert;Art & Langage;Poète inspiré par les dieux, prophète chez les Celtes.;"Du latin ""vates"" (devin, poète sacré).";Le vate chanta le combat des tribus sous la lune d'argent.;poète, barde, devin
épigone;4;Expert;Art & Langage;Successeur tardif ou imitateur d'une doctrine philosophique ou d'une école d'art.;"Du grec ""epigonoi"" (ceux qui sont nés après, successeurs).";Ce jeune peintre n'est qu'un épigone de l'impressionnisme, sans originalité.;disciple, successeur, imitateur
captieux;4;Expert;Esprit & Caractère;Se dit d'une argumentation mensongère, conçue de manière à tromper sous des dehors de vérité.;"Du latin ""captiosus"" (trompeur, captieux).";Ne te laisse pas séduire par ses promesses captieuses, c'est un piège.;fallacieux, trompeur, spécieux, perfide
ilote;4;Expert;Esprit & Caractère;"Esclave à Sparte ; par extension, personne réduite au dernier degré d'abaissement ou d'ignorance.";"Du grec ""Heilotes"" (habitants de la ville conquise d'Hélos).";Il refusait d'être traité comme un ilote taillable et corvéable à merci.;esclave, paria, asservi
impéritie;4;Expert;Esprit & Caractère;Incapacité ou manque d'habileté flagrante dans l'exercice d'une profession ou fonction.;"Du latin ""imperitia"" (manque d'expérience, ignorance).";L'effondrement du pont est dû à l'impéritie de l'ingénieur en chef.;incompétence, maladresse, ignorance
viateur;4;Expert;Esprit & Caractère;"Voyageur sur la terre ; au figuré, symbole spirituel de l'homme en marche vers sa destinée.";"Du latin ""viator"" (voyageur).";L'homme n'est qu'un humble viateur dans ce monde passager.;voyageur, pèlerin, errant
égrotant;4;Expert;Esprit & Caractère;De santé chancelante, maladif, languissant et sans force.;"Du latin ""aegrotans"" (malade).";Le poète égrotant passait ses journées allongé près de la cheminée.;maladif, valétudinaire, souffreteux, languissant
périgée;4;Expert;Nature & Cosmos;Point de l'orbite d'un astre qui se trouve au plus près de la Terre (opposé à l'apogée).;"Du grec ""perigeios"" (autour de la terre).";La lune paraissait immense ce soir-là car elle était à son périgée.;proximité orbitale
dirimant;4;Expert;Philosophie & Idées;Se dit d'un obstacle ou d'un argument décisif qui annule ou empêche toute discussion.;"Du latin ""dirimere"" (séparer, trancher).";Son absence le jour du concours fut un motif dirimant pour son exclusion.;décisif, rédhibitoire, éliminatoire, tranchant
haruspice;4;Expert;Philosophie & Idées;Devin de la Rome antique qui prédisait l'avenir en examinant les entrailles d'animaux sacrifiés.;"Du latin ""haruspex"" (qui examine les entrailles).";L'haruspice déclara que les présages étaient funestes pour l'expédition.;devin, oracle, augure
noumène;4;Expert;Philosophie & Idées;En philosophie kantienne, l'essence même des choses telle qu'elle est en soi, inaccessible aux sens.;"Du grec ""noumenon"" (objet de pensée pure).";Le phénomène est ce que nous percevons, le noumène est la réalité cachée derrière.;chose en soi, essence, idée
pythonisse;4;Expert;Philosophie & Idées;Devineresse, prophétesse ou femme prétendant prédire l'avenir.;De la Pythie, prêtresse de l'oracle de Delphes.;Elle consulta une pythonisse de passage pour connaître son destin amoureux.;devineresse, voyante, oracle, sibylle
solipsisme;4;Expert;Philosophie & Idées;Doctrine philosophique affirmant que le moi individuel est la seule réalité existante certaine.;"Du latin ""solus"" (seul) et ""ipse"" (soi-même).";Pousser le doute méthodique jusqu'au bout peut mener au solipsisme.;égocentrisme radical
thaumaturge;4;Expert;Philosophie & Idées;Qui accomplit des miracles ou des guérisons merveilleuses.;"Du grec ""thauma"" (miracle, merveille) et ""ergon"" (travail, action).";Les rois de France étaient réputés thaumaturges le jour de leur sacre.;miraculeux, magicien, guérisseur
téléologique;4;Expert;Philosophie & Idées;Se dit d'une doctrine ou d'une pensée expliquant les phénomènes par l'existence d'une cause finale ou d'un but.;"Du grec ""telos"" (fin, but) et ""logos"" (discours).";L'évolutionnisme contient parfois une vision téléologique sous-jacente.;finaliste
